id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,source_rank
11,Andorra,AND,AD,2002,26.76,,,,,,,,,,,,,,,,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,,,,,,,,70049,New 2018,High,11,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF),5
12,Andorra,AND,AD,2003,27.21,9.9,13.8,17.1,21.8,37.4,4.3,5.6,6.5,7.3,8.1,9,10.2,11.6,14,23.4,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,17266,14668,Euro,Year,,,,,73182,New 2018,High,13,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF),5
14,Angola,AGO,AO,2001,51.96,3.18,7.84,12.71,20.16,56.12,0.98,2.2,3.34,4.5,5.66,7.05,8.81,11.35,15.87,40.25,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1640.4,1037.64,US$2011PPP,Year,22.05786167,1640,1038,2898,16983266,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
21,Angola,AGO,AO,2009,42.72,5.43,9.62,14.46,21.94,48.54,2.07,3.36,4.32,5.3,6.54,7.92,9.65,12.29,16.23,32.31,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1448.88,1044.24,US$2011PPP,Year,79.32816667,1449,1044,5908,22549547,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
164,Argentina,ARG,AR,2009,44.7,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,3.710106831,,,17168,40799407,New 2013,High,11,Research study,Commitment to Equity Project,,,4
165,Argentina,ARG,AR,2009,48.9,,,,,,,,,,,,,,,,,,Earnings,Market income,Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,3.710106831,,,17168,40799407,New 2013,High,9,Research study,Commitment to Equity Project,,,4
192,Armenia,ARM,AM,1988,28,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1500,,Armenian ruble,Month,,,,,3504651,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey,4
195,Armenia,ARM,AM,1990,26.9,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2028,,Armenian ruble,Month,,,,3742,3538165,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey,4
202,Armenia,ARM,AM,1996,61.3,1.8,5.07,9.48,17.93,65.71,0.52,1.28,2.09,2.98,4.04,5.45,7.43,10.5,15.67,50.05,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,153348,,Armenian dram,Month,414.0415,,,2337,3168215,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Budget Survey,2
203,Armenia,ARM,AM,1996,48.2,4.56,8.22,12.26,19.65,55.31,1.68,2.88,3.71,4.51,5.48,6.79,8.53,11.12,15.62,39.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,194786.4,,Armenian dram,Month,414.0415,,,2337,3168215,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Budget Survey,2
205,Armenia,ARM,AM,1998,55.5,2.69,6.89,11.33,18.49,60.59,0.75,1.94,2.97,3.93,5.01,6.33,7.98,10.5,15.42,45.17,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,157190.4,,Armenian dram,Month,504.915,,,2640,3108684,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Armenian Household Living Standard Survey,2
206,Armenia,ARM,AM,1998,36.5,6.52,11.09,15.19,21.62,45.58,2.51,4.01,5.07,6.03,7.02,8.17,9.69,11.94,15.48,30.1,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,150890.4,,Armenian dram,Month,504.915,,,2640,3108684,,Low,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Armenian Household Living Standard Survey,2
207,Armenia,ARM,AM,1999,36.22,7.56,11.59,15.43,21.24,44.18,3.04,4.52,5.4,6.19,7.16,8.27,9.66,11.58,14.55,29.63,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1469.16,1130.88,US$2011PPP,Year,535.0618333,1469,1131,2744,3089017,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
209,Armenia,ARM,AM,2001,35.36,7.73,11.89,15.63,20.86,43.91,3.19,4.54,5.49,6.4,7.32,8.31,9.52,11.34,14.81,29.1,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1395.96,1086.36,US$2011PPP,Year,555.0782583,1396,1086,3224,3050655,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
211,Armenia,ARM,AM,2002,34.78,8.05,12.03,15.59,20.82,43.51,3.34,4.71,5.6,6.43,7.31,8.28,9.53,11.29,14.51,29,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1464.36,1139.4,US$2011PPP,Year,573.3533333,1464,1139,3669,3033897,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
210,Armenia,ARM,AM,2002,35.9,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,134594.4,,Armenian dram,Month,573.3533333,,,3669,3033897,,Low,11,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
214,Armenia,ARM,AM,2003,33.03,8.66,12.44,15.94,20.79,42.16,3.68,4.98,5.83,6.61,7.49,8.45,9.57,11.22,13.96,28.2,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1505.04,1200.36,US$2011PPP,Year,578.7629545,1505,1200,4207,3017806,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
212,Armenia,ARM,AM,2003,48.4,4,9.17,13.5,20.72,52.61,1.3,2.7,4.11,5.06,6.16,7.35,9.04,11.67,15.67,36.94,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,178764,,Armenian dram,Month,578.7629545,,,4207,3017806,New 2007,Low,13,United Nations,UNICEF 2005,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
216,Armenia,ARM,AM,2004,37.51,7.59,11.48,14.99,20.19,45.77,3.08,4.51,5.33,6.15,7.02,7.97,9.25,10.94,14.08,31.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1866,1391.16,US$2011PPP,Year,533.4508333,1866,1391,4674,3000612,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
215,Armenia,ARM,AM,2004,45.5,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,0.4,,,,533.4508333,,,4674,3000612,New 2008,Low,11,United Nations,UNICEF 2007,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
218,Armenia,ARM,AM,2005,35.99,8.05,11.82,15.23,20.22,44.68,3.33,4.72,5.54,6.28,7.13,8.1,9.26,10.96,13.9,30.78,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2056.08,1566.24,US$2011PPP,Year,457.6869406,2056,1566,5357,2981259,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
217,Armenia,ARM,AM,2005,43.4,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,0.4,,,,457.6869406,,,5357,2981259,New 2008,Low,11,United Nations,UNICEF 2007,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
220,Armenia,ARM,AM,2006,29.71,8.93,13.15,16.99,22.13,38.79,3.73,5.2,6.14,7.01,7.95,9.04,10.25,11.88,14.34,24.45,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1984.56,1681.44,US$2011PPP,Year,416.0403697,1985,1681,6110,2958500,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
219,Armenia,ARM,AM,2006,40,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,416.0403697,,,6110,2958500,New 2008,Low,11,United Nations,UNICEF 2008,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
223,Armenia,ARM,AM,2007,31.23,8.41,12.8,16.71,22.08,40.01,3.51,4.9,5.89,6.91,7.86,8.85,10.13,11.95,14.89,25.12,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2210.52,1842.6,US$2011PPP,Year,342.0791162,2211,1843,7011,2933056,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
226,Armenia,ARM,AM,2008,29.19,9.12,13.07,17.01,22.44,38.35,3.85,5.27,6.08,6.99,7.95,9.06,10.41,12.03,14.66,23.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2259.36,1917.96,US$2011PPP,Year,305.9694003,2259,1918,7558,2908220,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
229,Armenia,ARM,AM,2009,28.02,9.37,13.5,17.18,22.41,37.54,3.99,5.38,6.33,7.17,8.07,9.11,10.37,12.04,14.62,22.92,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2008.2,1715.64,US$2011PPP,Year,363.2832856,2008,1716,6533,2888584,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
232,Armenia,ARM,AM,2010,29.99,9.1,13.04,16.77,21.7,39.38,3.89,5.21,6.07,6.97,7.91,8.86,10.04,11.66,14.35,25.03,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2050.08,1705.44,US$2011PPP,Year,373.6604667,2050,1705,6703,2877311,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
235,Armenia,ARM,AM,2011,29.35,9.04,13.2,16.99,22.21,38.56,3.83,5.21,6.14,7.06,7.99,9,10.24,11.97,14.59,23.97,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2092.8,1780.32,US$2011PPP,Year,372.5008824,2093,1780,7022,2875581,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
236,Armenia,ARM,AM,2012,29.6,8.99,13.18,17.06,22.02,38.74,3.79,5.2,6.11,7.07,8.01,9.05,10.23,11.79,14.2,24.54,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2168.04,1835.4,US$2011PPP,Year,401.7639756,2168,1835,7511,2881922,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
237,Armenia,ARM,AM,2013,30.58,8.62,12.88,16.92,22.19,39.4,3.56,5.06,5.98,6.9,7.93,8.99,10.26,11.93,14.71,24.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2249.52,1900.08,US$2011PPP,Year,409.6257493,2250,1900,7728,2893509,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
238,Armenia,ARM,AM,2014,31.48,8.45,12.66,16.87,21.97,40.05,3.52,4.93,5.85,6.81,7.86,9.01,10.19,11.78,14.31,25.74,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2307.24,1939.08,US$2011PPP,Year,415.9197892,2307,1939,7971,2906220,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
239,Armenia,ARM,AM,2015,32.36,8.22,12.56,16.73,21.79,40.68,3.38,4.84,5.77,6.79,7.81,8.92,10.15,11.64,13.95,26.73,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2473.32,2047.08,US$2011PPP,Year,477.9183066,2473,2047,8196,2916950,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
240,Armenia,ARM,AM,2016,32.55,7.86,12.12,17.05,22.83,40.15,3.27,4.59,5.52,6.6,7.9,9.15,10.57,12.26,14.87,25.28,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2600.52,2217.96,US$2011PPP,Year,480.4881508,2601,2218,8190,2924816,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
330,Australia,AUS,AU,1981,31.2,7.75,12.9,16.89,23.31,39.15,2.84,4.91,5.98,6.92,7.82,9.07,10.63,12.68,15.84,23.31,1.01,13.53,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,5563,4680,Australian dollar,Year,0.870214582,,,,14838494,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
331,Australia,AUS,AU,1981,28.1,8.09,13.64,18.2,24.09,35.98,3.11,4.98,6.29,7.35,8.5,9.7,11.14,12.95,15.28,20.7,1.13,11.7,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,9811,8882,Australian dollar,Year,0.870214582,,,,14838494,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
332,Australia,AUS,AU,1981,35.4,6.6,11.64,16.23,23.37,42.17,2.32,4.28,5.34,6.3,7.4,8.83,10.53,12.84,16.26,25.91,0.81,15.54,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,7080,5727,Australian dollar,Year,0.870214582,,,,14838494,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
333,Australia,AUS,AU,1981,32.7,6.58,12.45,17.68,24.21,39.08,2.47,4.11,5.57,6.88,8.15,9.53,11.11,13.1,15.8,23.28,0.89,13.7,Income (gross),"Income, gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,12505,11030,Australian dollar,Year,0.870214582,,,,14838494,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
345,Australia,AUS,AU,1985,32.4,7.5,12.65,16.61,23.04,40.2,2.79,4.71,5.93,6.72,7.68,8.93,10.39,12.65,15.93,24.27,0.97,14.24,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,7818,6462,Australian dollar,Year,1.431895,,,,15729643,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
346,Australia,AUS,AU,1985,29.2,7.92,13.3,18.01,23.89,36.88,3.07,4.85,6.05,7.25,8.37,9.64,11.06,12.83,15.26,21.62,1.1,12.53,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,13354,12035,Australian dollar,Year,1.431895,,,,15729643,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
347,Australia,AUS,AU,1985,37.4,6.36,11.12,15.78,22.81,43.94,2.24,4.12,5.09,6.03,7.18,8.6,10.2,12.61,16.18,27.76,0.76,17.21,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,10033,7878,Australian dollar,Year,1.431895,,,,15729643,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
348,Australia,AUS,AU,1985,34.6,6.31,11.81,17.34,23.84,40.72,2.4,3.91,5.18,6.63,7.98,9.36,10.94,12.9,15.67,25.05,0.86,15.46,Income (gross),"Income, gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,17182,14874,Australian dollar,Year,1.431895,,,,15729643,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
355,Australia,AUS,AU,1986,35.2,,,,,,,,,,,,,,,,,,Income (net),"Monetary income, net",Equivalized,"Family equivalized, OECD",Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,,,,,1.495974166,,,,15986164,,High,11,Research study,Saunders 2001,,Survey of Income and Housing Costs,4
363,Australia,AUS,AU,1989,33,7.35,12.37,16.61,23.14,40.53,2.7,4.65,5.72,6.65,7.64,8.97,10.54,12.6,15.86,24.67,0.94,14.78,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,10964,9053,Australian dollar,Year,1.264596667,,,,16792294,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
364,Australia,AUS,AU,1989,30.2,7.72,12.99,17.71,23.85,37.73,2.94,4.78,5.95,7.04,8.2,9.51,11.01,12.84,15.32,22.41,1.06,13.22,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,18798,16587,Australian dollar,Year,1.264596667,,,,16792294,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
365,Australia,AUS,AU,1989,37.6,6.2,10.99,15.81,23.03,43.96,2.19,4.01,5.02,5.97,7.17,8.64,10.36,12.67,16.27,27.69,0.75,17.24,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,13939,10965,Australian dollar,Year,1.264596667,,,,16792294,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
366,Australia,AUS,AU,1989,35.3,6.2,11.62,17,23.84,41.34,2.32,3.88,5.14,6.48,7.78,9.22,10.9,12.94,15.83,25.51,0.83,15.62,Income (gross),"Income, gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,23960,20204,Australian dollar,Year,1.264596667,,,,16792294,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
372,Australia,AUS,AU,1990,33,,,,,,,,,,,,,,,,,,Income (net),"Monetary income, net",Equivalized,"Family equivalized, OECD",Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,,,,,1.281056667,,,28698,17041431,,High,11,Research study,Saunders 2001,,Survey of Income and Housing Costs,4
377,Australia,AUS,AU,1990,43.7,,,,,,,,,,,,,,,,,,Earnings,Market income,Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,,,,,1.281056667,,,28698,17041431,,High,9,Research study,Smeeding and Gottschalk 1995,,Australian Income and Housing Survey through,4
386,Australia,AUS,AU,1995,32.7,7.42,12.51,16.67,22.94,40.46,2.75,4.67,5.8,6.71,7.7,8.97,10.33,12.61,15.63,24.83,0.9,14.77,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,12210,10088,Australian dollar,Year,1.3490325,,,30404,18076743,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
387,Australia,AUS,AU,1995,30.8,7.69,12.6,17.61,23.93,38.18,2.97,4.72,5.77,6.83,8.09,9.52,11.06,12.87,15.45,22.73,1.01,13.45,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,21084,18538,Australian dollar,Year,1.3490325,,,30404,18076743,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
388,Australia,AUS,AU,1995,37.4,6.22,11.17,15.8,22.97,43.84,2.29,3.93,5.22,5.95,7.19,8.61,10.35,12.62,16,27.84,0.75,17.19,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,15219,12033,Australian dollar,Year,1.3490325,,,30404,18076743,New 2018,High,13,Luxembourg Income Study,LIS 2018,,,1
