Country Name,Country Code,Indicator Name,Indicator Code,variable,value
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404118
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.6
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152977
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513830
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1880306125
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,80250493642
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,1.51711E+11
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,1.53258E+11
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,2.44896E+11
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,17248392836
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102196
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.1
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478001
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.6
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233967692
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230038
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335186017
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170215248.2
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1.06285E+12
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796652
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335650000
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,17351436195
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187200
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,3.03366E+11
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,3.39775E+11
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,37746759197
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12078454512
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,26697169010
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883875
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134390
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1684121535
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434097
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2598500000
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699050679
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342950
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.8
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.7
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366563.61
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3958190759
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,73153738157
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,81651479231
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873950
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,88589514458
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,3.251E+11
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579308.41
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,1.83151E+11
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.9
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1960,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037150716
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.1
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13040000000
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,3.12138E+11
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,162956740.9
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916241997
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,5.83846E+11
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1960,
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.6
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196092258
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,223854666.7
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334414
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1960,
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854792
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1.07337E+12
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3749265015
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571908062
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,6684568805
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496033
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,11224040335
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1960,
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1.04233E+12
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,47172093787
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1307333333
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,1003692375
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704756304.7
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,322009471.6
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,180459936.8
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,29771852731
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,29922675704
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,99650000
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,15822585034
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076158.48
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012025.25
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704431.7
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.6
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,80085561989
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,121128073.1
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760747472
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,76704221426
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1960,
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,47172093787
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,29922675704
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535670127.7
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,13995067818
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.7
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,2.23788E+11
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,5.433E+11
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066557.78
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,7779090909
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1960,
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1.36944E+12
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1960,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,7575396973
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990400
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1961,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.6
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1961,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1961,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1961,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1961,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1961,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1961,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19652816665
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999992
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145222
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668222.4
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247237.1
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580184
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1961,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1961,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.2
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1961,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1961,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964370.71
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.7
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,406684585.7
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,15236854859
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1961,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1961,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902336.64
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134584.5
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40934952064
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712465
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4609727273
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056868958
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245639.2
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,657597382.8
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,3086746857
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.2
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4540447761
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1961,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.6
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1961,2038301741
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1961,
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1961,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1961,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1961,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1961,654100200
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1961,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1961,70446019997
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1961,1.52834E+11
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1961,1.53706E+11
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1961,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1961,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1961,1753850417
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1961,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1961,2.69035E+11
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1961,13834300571
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1961,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1961,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1961,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1961,17969415002
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1961,5921659485
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1961,116987784.9
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1961,67461644222
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1961,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1961,167637907.4
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1961,77741965703
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1961,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1961,1302674264
